Account: NYC Alliance for Downtown New York
User: Sarah
Generated On: 03/29/2018
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng"
"55 Water St","2404190","Trash","HC4","High","In Service","60%","Disabled","7 hours ago","40.70359850469038","-74.00931486875612"
"55 Water St","2404190-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70359850469038","-74.00931486875612"
"Beekman St Between William St & Nassau St","2403956","Trash","HC4","High","In Service","60%","Disabled","an hour ago","40.71105068783746","-74.00621271539381"
"Beekman St Between William St & Nassau St","2403956-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.71105068783746","-74.00621271539381"
"Bowling Green ( Bull Side )","1508973","Trash","HC5","High","In Service","60%","Disabled","9 hours ago","40.70502659932501","-74.0136137513224"
"Bowling Green ( Bull Side )","1508973-left","Bottles/Cans","SCC5","Standard","In Service","80%","Disabled","","40.70502659932501","-74.0136137513224"
"Bowling Green ( Train Side )","1508977","Trash","HC5","High","In Service","60%","Disabled","2 hours ago","40.704725466616296","-74.01362192394254"
"Bowling Green ( Train Side )","1508977-left","Bottles/Cans","SCC5","Standard","In Service","80%","Disabled","","40.704725466616296","-74.01362192394254"
"Coenties Alley - Stone","2404182","Trash","HC4","High","In Service","60%","Disabled","3 hours ago","40.704089359354","-74.01065186011886"
"Coenties Alley - Stone","2404182-right","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.704089359354","-74.01065186011886"
"Ferry ( Peter Minuit Plaza Triple Unit Train Entrance )","2404191","Trash","HC4","High","In Service","60%","Disabled","an hour ago","40.70168203070462","-74.01302302271921"
"Ferry ( Peter Minuit Plaza Triple Unit Train Entrance )","2404191-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70168203070462","-74.01302302271921"
"Ferry ( Peter Minuit Plaza Triple Unit Train Entrance Recy Unit)","175598","Bottles/Cans","HC3PLUS","High","In Service","60%","Disabled","3 hours ago","40.70167763250953","-74.01306593806345"
"N/E/C  State St & Pearl St","2404001","Trash","HC4","High","In Service","60%","Disabled","10 hours ago","40.70321330105764","-74.01437622698359"
"N/E/C  State St & Pearl St","2404001-left","Paper","SCC4","Standard","In Service","80%","Disabled","","40.70321330105764","-74.01437622698359"
"N/E/C  Wall St & Water St","2403836","Trash","HC4","High","In Service","60%","Disabled","4 hours ago","40.70516051707795","-74.00734438792665"
"N/E/C  Wall St & Water St","2403836-left","Bottles/Cans","SCC4","Standard","In Service","80%","Disabled","","40.70516051707795","-74.00734438792665"
"N/E/C Ann st & Park Row","2403988","Trash","HC4","High","In Service","60%","Disabled","10 minutes ago","40.711289567781925","-74.0083910400894"
"N/E/C Ann st & Park Row","2403988-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.711289567781925","-74.0083910400894"
"N/E/C Barclay & W Broadway","1401739","Trash","HC4","High","In Service","60%","Disabled","2 hours ago","40.713301132275134","-74.01085857420503"
"N/E/C Barclay & W Broadway","1401739-right","Paper","SCC4","Standard","In Service","80%","Disabled","","40.713301132275134","-74.01085857420503"
